period,n_obs,alpha_monthly,alpha_tstat,alpha_pvalue,beta_dollar,beta_dollar_tstat,beta_dollar_pvalue,beta_spy,beta_spy_tstat,beta_spy_pvalue,r_squared
IS,152,0.0006763084307716209,0.7274248521865796,0.4669657348158669,0.1500327376007779,2.1983379393498943,0.027925032677859497,0.07284694109083428,1.533340639669066,0.12519194629680133,0.19772396261965752
OOS,78,0.0010782387812829147,0.7142942649075602,0.4750452378121268,-0.08601527014554586,-1.0780677630334428,0.2810035166966913,0.0747960765401233,1.9502573360559547,0.05114545500471676,0.06385582891356356
