date,EUR,GBP,AUD,NZD,JPY,CAD,CHF,SEK,NOK
2000-01-31,,,,,0.009328358474513907,,,,
2000-02-29,,,,,0.00907523348619356,,,,
2000-03-31,,,,,0.009712509798874011,,,,
2000-04-30,,,,,0.009246416882950416,,,,
2000-05-31,,,,,0.009291090081935715,,,,
2000-06-30,,,,,0.009433072161577058,,,,
2000-07-31,,,,,0.009146620170603113,,,,
2000-08-31,,,,,0.009374707201327473,,,,
2000-09-30,,,,,0.009248127489140301,,,,
2000-10-31,,,,,0.00919202124813359,,,,
2000-11-30,,,,,0.009060432863230751,,,,
2000-12-31,,,,,0.00874278741049819,,,,
2001-01-31,,,,,0.008570449069116443,,,,
2001-02-28,,,,,0.008518613214067203,,,,
2001-03-31,,,,,0.007922046846282301,,,,
2001-04-30,,,,,0.008105041516138445,,,,
2001-05-31,,,,,0.008387150648703282,,,,
2001-06-30,,,,,0.008032128514056224,,,,
2001-07-31,,,,,0.00799935991449903,,,0.09444119005468095,0.1096659587964079
2001-08-31,,,,,0.008421052631578947,,,0.09618436706834603,0.11326952747723891
2001-09-30,,,,,0.00836960137180954,,,0.09350338152740725,0.11274084580578542
2001-10-31,,,,,0.008169934538673769,,,0.09371017494515425,0.11248593491350045
2001-11-30,,,,,0.00810044572475171,,,0.09382007196019275,0.11209630881903633
2001-12-31,,,,,0.007594744542465197,,,0.09506426050488201,0.11110740250144663
2002-01-31,,,,,0.007414547610319906,,,0.09374531195660045,0.10966475451412674
2002-02-28,,,,,0.0074928813853873035,,,0.09585338246960018,0.11258092140241718
2002-03-31,,,,,0.00753579519967914,,,0.09648039096523175,0.1129969024820662
2002-04-30,,,,,0.0077802848323147746,,,0.0975324270652634,0.11886366186901119
2002-05-31,,,,,0.008060615989676272,,,0.10263199441158642,0.12487201099984924
2002-06-30,,,,,0.008366800770471841,,,0.10924066312662976,0.13337245817324392
2002-07-31,,,,,0.00834863925689773,,,0.10552697873148958,0.13090290617095368
2002-08-31,,,,,0.008443806446197372,,,0.10661492311623255,0.13270519453506843
2002-09-30,,,,,0.008208158786591254,,,0.10784694475345415,0.1351488320945481
2002-10-31,,,,,0.008166598815210141,,,0.10936372447595523,0.134548756691503
2002-11-30,,,,,0.008165264881461874,,,0.11050090322803646,0.13656165031616257
2002-12-31,,,,,0.00842460004810311,,,0.11505758113056372,0.14442519220862934
2003-01-31,,,,,0.008339587769656555,,,0.11654467688954855,0.14460688842942582
2003-02-28,,,,,0.008468117800077684,,,0.11780089036862997,0.13965700408358914
2003-03-31,,,,,0.008473857994219866,,,0.11842308252649221,0.13752509880662178
2003-04-30,,,,,0.008416091588692033,,,0.12156576956046812,0.14208380575428195
2003-05-31,,,,,0.00838222945867113,,,0.12305647066997015,0.1436007921642515
2003-06-30,,,,,0.008356313322477368,,,,
2003-07-31,,,,,0.00829462525091697,,,,
2003-08-31,,,,,0.008555051802734102,,,,
2003-09-30,,,,,0.008985533217481342,0.7406309863442595,0.7590132854795122,,
2003-10-31,,,,,0.00909090909090909,0.7593590923401718,0.7472724705551178,,
2003-11-30,,,,,0.009122422686959659,0.7689941445908557,0.7745333285567135,,
2003-12-31,1.2590018510818481,1.7888127565383911,,0.6544074416160583,0.009310986832332975,0.7708911712524382,0.8086689038732221,0.13887152844686665,0.14991604380719692
2004-01-31,1.2468050718307495,1.8252837657928467,,0.6706008911132812,0.009458948055745674,0.7554582132564841,0.7984031571377285,0.13528138165111053,0.14260249942235553
2004-02-29,1.2494065761566162,1.8695082664489746,,0.6836204528808594,0.009153318077803204,0.7492320436931033,0.7927699479936001,0.13531982461447292,0.14292043452568404
2004-03-31,1.231299638748169,1.843385934829712,,0.6667110919952393,0.009596008144951616,0.7635919390270334,0.7898893952511012,0.13263127125100801,0.14606216866332017
2004-04-30,1.198293685913086,1.7785998582839966,,0.6248047351837158,0.009060432863230751,0.7295010115570744,0.772797509391877,0.13089690902206935,0.1457577187435775
2004-05-31,1.2198989391326904,1.8326095342636108,,0.6298022270202637,0.009130752653865324,0.7339449798144763,0.7980208842187777,0.13417415682101058,0.1486745669502456
2004-06-30,1.218397855758667,1.8202005624771118,,0.6343165040016174,0.009185266600274748,0.7500187535802798,0.7997441156856417,0.13296987908416832,0.1442751610164711
2004-07-31,1.2016053199768066,1.822090983390808,,0.6348803639411926,0.00897988500825353,0.7510890583979558,0.780457379258141,0.1303288162166267,0.142553702892033
2004-08-31,1.2178043127059937,1.8024837970733643,,0.655995786190033,0.00916002580170842,0.7619628258487963,0.7894528908275573,0.13331377952007595,0.14566005476754493
