label,n_months,cagr,ann_vol,sharpe,sharpe_ci_lo,sharpe_ci_hi,max_dd,win_rate,mean_monthly_ret,tstat,pvalue
CARRY (net) - In-Sample,151,0.005087416381232446,0.04205685114232448,0.14171527521379262,-0.4773027104984871,0.8323674211924436,-0.1589160979708708,0.5496688741721855,0.0004966748528550018,0.5027065167311064,0.6159078987822391
CARRY (net) - Out-of-Sample,78,0.006342103718756542,0.029172504556328128,0.23122523766881947,-0.4058095805007409,0.9479084417978962,-0.05567384993114122,0.5641025641025641,0.0005621182749526409,0.58951099945422,0.5572443442873484
"CARRY (gross, no costs) - In-Sample",151,0.005199181127017338,0.04205740087970131,0.14435881403541537,-0.4759334893069586,0.8351168210532399,-0.15880351669131676,0.5496688741721855,0.0005059463760338096,0.5120839405187442,0.6093453943495644
"CARRY (gross, no costs) - Out-of-Sample",78,0.00654810345890211,0.029184467162502916,0.23815913670303937,-0.3974402258618608,0.9573005402224095,-0.055484397526171736,0.5641025641025641,0.000579212292046658,0.6071890426946046,0.5455118630771433
BENCHMARK equal-weight basket (net) - In-Sample,151,-0.00690314493663402,0.08573885389335624,-0.03806093022823883,-0.6450570137937688,0.5934646467444662,-0.27899016251076825,0.5165562913907285,-0.00027194171132368294,-0.13501351657200492,0.8927821895344803
BENCHMARK equal-weight basket (net) - Out-of-Sample,78,-0.004346045367355833,0.0792152181351028,-0.015796937029977445,-0.7763779012817911,0.49051321348814364,-0.18588007624467962,0.48717948717948717,-0.00010427981772467885,-0.04027444508542572,0.9679785715250009
