date,longs,shorts,carry_gross,carry_net,turnover,bm_gross,bm_net
2006-06-30,"AUD,GBP,NZD","CHF,JPY,SEK",-0.006143855683246597,-0.006343855683246596,0.5,-0.01328214369395797,-0.01328214369395797
2006-07-31,"AUD,GBP,NZD","CHF,JPY,SEK",0.012570665317627107,0.012570665317627107,0.0,0.005054492085281328,0.005054492085281328
2006-08-31,"AUD,GBP,NZD","CHF,JPY,SEK",0.01950681483114788,0.01950681483114788,0.0,0.00487341537706935,0.00487341537706935
2006-09-30,"AUD,GBP,NZD","CHF,JPY,SEK",0.000571618058863718,0.000571618058863718,0.0,-0.014862641211075648,-0.014862641211075648
2006-10-31,"AUD,GBP,NZD","CHF,JPY,SEK",0.010538861568475725,0.010538861568475725,0.0,0.013758941723200234,0.013758941723200234
2006-11-30,"AUD,GBP,NZD","CHF,JPY,SEK",-0.004518475194344633,-0.004518475194344633,0.0,0.02822204856821289,0.02822204856821289
2006-12-31,"AUD,GBP,NZD","CHF,JPY,SEK",0.014626792811342451,0.014626792811342451,0.0,-0.00647949993243165,-0.00647949993243165
2007-01-31,"AUD,GBP,NZD","CHF,JPY,SEK",0.003959507027564933,0.003959507027564933,0.0,-0.01210214627347983,-0.01210214627347983
2007-02-28,"AUD,GBP,NZD","CHF,JPY,SEK",0.0019632771552697864,0.0019632771552697864,0.0,0.011341696535414824,0.011341696535414824
2007-03-31,"AUD,GBP,NZD","CHF,JPY,SEK",0.006313677730478747,0.006313677730478747,0.0,0.009840241165284517,0.009840241165284517
2007-04-30,"AUD,GBP,NZD","CHF,JPY,SEK",0.010371688297740725,0.010371688297740725,0.0,0.0229568956181456,0.0229568956181456
2007-05-31,"AUD,GBP,NZD","CHF,JPY,SEK",0.010019597889932032,0.010019597889932032,0.0,-0.0082323953288843,-0.0082323953288843
2007-06-30,"AUD,GBP,NZD","CHF,JPY,SEK",0.015462269338067533,0.015462269338067533,0.0,0.01336446076972638,0.01336446076972638
2007-07-31,"AUD,GBP,NZD","CHF,JPY,SEK",-0.009617981058300076,-0.009617981058300076,0.0,0.010271256878284242,0.010271256878284242
2007-08-31,"AUD,GBP,NZD","CHF,JPY,SEK",-0.018016115576763195,-0.018016115576763195,0.0,-0.013288350682342846,-0.013288350682342846
2007-09-30,"AUD,GBP,NZD","CHF,JPY,SEK",0.011517897301986001,0.011517897301986001,0.0,0.05355032303207157,0.05355032303207157
2007-10-31,"AUD,GBP,NZD","CHF,JPY,SEK",0.014843895853596823,0.014843895853596823,0.0,0.018720563626524276,0.018720563626524276
2007-11-30,"AUD,GBP,NZD","CHF,JPY,SEK",-0.018343901505653765,-0.018343901505653765,0.0,-0.009950026790621538,-0.009950026790621538
2007-12-31,"AUD,GBP,NZD","CHF,JPY,SEK",-0.00410215247907854,-0.00410215247907854,0.0,-0.004265182205367152,-0.004265182205367152
2008-01-31,"AUD,GBP,NZD","CHF,JPY,SEK",-0.00793803326169132,-0.00793803326169132,0.0,0.02077707721615179,0.02077707721615179
2008-02-29,"AUD,GBP,NZD","CHF,JPY,SEK",-0.0054023757235039105,-0.0054023757235039105,0.0,0.024072318441745413,0.024072318441745413
2008-03-31,"AUD,GBP,NZD","CAD,CHF,JPY",-0.01229424874777521,-0.012360915414441877,0.16666666666666666,0.012305537129100787,0.012305537129100787
2008-04-30,"AUD,GBP,NZD","CAD,CHF,JPY",0.01736747363780007,0.01736747363780007,0.0,-0.004299804809186026,-0.004299804809186026
2008-05-31,"AUD,NOK,NZD","CAD,CHF,JPY",0.004883331091697338,0.004816664425030672,0.16666666666666666,-0.0008238721269560293,-0.0008238721269560293
2008-06-30,"AUD,NOK,NZD","CAD,CHF,JPY",3.4372317031833473e-06,3.4372317031833473e-06,0.0,-0.0020943444133209033,-0.0020943444133209033
2008-07-31,"AUD,NOK,NZD","CAD,CHF,JPY",-0.0013713957667556669,-0.0013713957667556669,0.0,-0.014549014274416338,-0.014549014274416338
2008-08-31,"AUD,NOK,NZD","CAD,CHF,JPY",-0.013395386915265286,-0.013395386915265286,0.0,-0.05383146552883668,-0.05383146552883668
2008-09-30,"AUD,NOK,NZD","CAD,CHF,JPY",-0.03133083354808906,-0.03133083354808906,0.0,-0.03483027323766668,-0.03483027323766668
2008-10-31,"AUD,NOK,NZD","CAD,CHF,JPY",-0.054612912399698725,-0.054612912399698725,0.0,-0.08809838537991975,-0.08809838537991975
2008-11-30,"AUD,NOK,NZD","CAD,CHF,JPY",-0.01381543083494028,-0.01381543083494028,0.0,-0.02555379491588081,-0.02555379491588081
