label,n_months,cagr,ann_vol,sharpe,sharpe_ci_lo,sharpe_ci_hi,max_dd,win_rate,skew,kurtosis,mean_monthly_ret,tstat,pvalue,hac_tstat,hac_pvalue
VOL-CONDITIONED CARRY (net) - In-Sample,152,0.020152203503272847,0.030692249207879153,0.6657623998714891,0.07294639488511692,1.0494852422847185,-0.04950546425973146,0.39473684210526316,0.6877704443791486,2.4942316848729122,0.0017028121241742865,2.369465746896017,0.01907809550506088,2.4858450339220184,0.012924423183563027
VOL-CONDITIONED CARRY (net) - Out-of-Sample,78,0.030095629629335097,0.034189861732228335,0.8852111749856058,0.19840092503492263,1.6474272763876034,-0.038241639770307034,0.5641025641025641,-0.3543640515053052,0.47692502979706486,0.002522103973048437,2.2568545274510003,0.026852623193812507,2.4446965958340017,0.014497404401136789
ATTEMPT 3 UNCONDITIONAL CARRY (net) - In-Sample [reference],152,0.01092518709155188,0.047217866042315086,0.2537944706438685,-0.27504780039353977,0.8463994657865633,-0.10514595665348014,0.5526315789473685,-0.5994443727679613,1.8097163023677085,0.000998636109761871,0.9032611409991491,0.36782600992410386,1.020059577608254,0.3077002060949171
ATTEMPT 3 UNCONDITIONAL CARRY (net) - Out-of-Sample [reference],78,0.026809388417162516,0.04042365467128025,0.6752968684407686,-0.0981891015928247,1.6447593666090454,-0.06994071211365815,0.6538461538461539,-1.1956797299644708,3.215186587922564,0.0022748306175372165,1.7216759548237894,0.08914353995308769,1.7889789120274147,0.07361821179818141
