metric,attempt3_IS,attempt4_IS,attempt3_OOS,attempt4_OOS
sharpe,0.2537944706438674,0.6657623998714891,0.6752968684407705,0.8852111749856058
max_dd,-0.10514595665348,-0.04950546425973146,-0.0699407121136584,-0.038241639770307034
skew,,0.6877704443791486,,-0.3543640515053052
plain_pvalue,0.367826009924106,0.01907809550506088,0.0891435399530868,0.026852623193812507
hac_pvalue,,0.012924423183563027,,0.014497404401136789
