period,n_months,cond_sharpe,uncond_sharpe_ref
2019-01-01 to 2021-02-28,26,0.40577082463306485,-0.04615474939103904
2021-03-01 to 2023-04-30,26,1.390811271452842,1.2407870889324077
2023-05-01 to 2025-06-30,26,0.8639493309464968,1.0738690568335043
