date,vol_dispersion
2000-01-31,
2000-02-29,
2000-03-31,
2000-04-30,
2000-05-31,
2000-06-30,
2000-07-31,
2000-08-31,
2000-09-30,
2000-10-31,
2000-11-30,
2000-12-31,
2001-01-31,
2001-02-28,
2001-03-31,
2001-04-30,
2001-05-31,
2001-06-30,
2001-07-31,0.2070833248466308
2001-08-31,0.12516107454226016
2001-09-30,0.01980051624671453
2001-10-31,0.05620235959373311
2001-11-30,0.0601460251736196
2001-12-31,0.028098693865119567
2002-01-31,0.020030475772192746
2002-02-28,0.02993637222322854
2002-03-31,0.03464223632698361
2002-04-30,0.025126400094487914
2002-05-31,0.016691177756533674
2002-06-30,0.05735018919453207
2002-07-31,0.03028916696000384
2002-08-31,0.015632079165782586
2002-09-30,0.019959565128326733
2002-10-31,0.02627872911349718
2002-11-30,0.017343724560708356
2002-12-31,0.016943985230345647
2003-01-31,0.03883643251867206
2003-02-28,0.044604270774601586
2003-03-31,0.05306557701676766
2003-04-30,0.01750033465790005
2003-05-31,0.041974225900137045
2003-06-30,0.03332056257665944
2003-07-31,0.020174903025216472
2003-08-31,0.024117807527543524
2003-09-30,0.0414905342871287
2003-10-31,0.05035894344045012
2003-11-30,0.06850166621770545
2003-12-31,0.06294036946738313
2004-01-31,0.06341683093676127
2004-02-29,0.0532251743388412
2004-03-31,0.052255182236992485
2004-04-30,0.05913099906072888
2004-05-31,0.0643938772331699
2004-06-30,0.04634192242519807
2004-07-31,0.05254965936475692
2004-08-31,0.049840945048048445
2004-09-30,0.040085409114427456
2004-10-31,0.04202047432731479
2004-11-30,0.04913857509433459
2004-12-31,0.0432893612566587
2005-01-31,0.048940383531133745
2005-02-28,0.04909451210684024
2005-03-31,0.061518633960236324
2005-04-30,0.03183367332953841
2005-05-31,0.04470429853772135
2005-06-30,0.05061934917045425
2005-07-31,0.03891780297571178
2005-08-31,0.06479169896952405
2005-09-30,0.04103989924966484
2005-10-31,0.06216416266976074
2005-11-30,0.03799834350929709
2005-12-31,0.03393212744239214
2006-01-31,0.04556334512297157
2006-02-28,0.02536177964172725
2006-03-31,0.2495922699647223
2006-04-30,0.11265144055502603
2006-05-31,0.10339530921076755
2006-06-30,0.04608549686035594
2006-07-31,0.05508237388334502
2006-08-31,0.08117435647008447
2006-09-30,0.06245119674416269
2006-10-31,0.04152018915022886
2006-11-30,0.05577045712651426
2006-12-31,0.09260262371646899
2007-01-31,0.06543861178900669
2007-02-28,0.09462474120678253
2007-03-31,0.06938613492446334
2007-04-30,0.05241145785505938
2007-05-31,0.07593541599891779
2007-06-30,0.03446244924189507
2007-07-31,0.04409086148846504
2007-08-31,0.06475694818275436
2007-09-30,0.03209193701517143
2007-10-31,0.03153557897211345
2007-11-30,0.05239846772663638
2007-12-31,0.036588915737596796
2008-01-31,0.058317966954227245
2008-02-29,0.06894580729329719
2008-03-31,0.07853831890179666
2008-04-30,0.05741058322801984
2008-05-31,0.03519712515021433
2008-06-30,0.07379826031073758
2008-07-31,0.053039299589128355
2008-08-31,0.07237743802285973
2008-09-30,0.09149646857784131
2008-10-31,0.2134538031975125
2008-11-30,0.08617447601537968
2008-12-31,0.1789371639083094
2009-01-31,0.07094417663597893
2009-02-28,0.08699033065446443
2009-03-31,0.06687834686521728
2009-04-30,0.06333467099722327
2009-05-31,0.042255422466660024
2009-06-30,0.06293415265593037
2009-07-31,0.04832949185540658
2009-08-31,0.04520066559405329
2009-09-30,0.045158645350065876
2009-10-31,0.05032359119067538
2009-11-30,0.04011072238734231
2009-12-31,0.034233057010359745
2010-01-31,0.026609607906040104
2010-02-28,0.03700511840719896
2010-03-31,0.038302648637061364
2010-04-30,0.036115264772315844
2010-05-31,0.07329153149116535
2010-06-30,0.04501167620897494
2010-07-31,0.03535773238201126
2010-08-31,0.04883218275146047
2010-09-30,0.06541685792933355
2010-10-31,0.06641078119211093
2010-11-30,0.5999634100772768
2010-12-31,0.04184958310244108
2011-01-31,0.06548538454625026
2011-02-28,0.05179047832953868
2011-03-31,0.044405708573304906
2011-04-30,0.03953028891536499
2011-05-31,0.04125742215205576
2011-06-30,0.04951318267030223
2011-07-31,0.04711415591366744
2011-08-31,0.06542974924685754
2011-09-30,0.07575937998198987
2011-10-31,0.062309738895541
2011-11-30,0.056399589921182644
2011-12-31,0.03524022432529604
2012-01-31,0.07353133578849055
2012-02-29,6.283516984377985
2012-03-31,0.031042678949745963
2012-04-30,0.030492017819880007
2012-05-31,0.04915715692801961
2012-06-30,0.05351918655738594
2012-07-31,0.045139878047092595
2012-08-31,0.049952009573028235
2012-09-30,0.04319702901137956
2012-10-31,0.04043726168612269
2012-11-30,0.041464984450839994
2012-12-31,0.042445332829861224
2013-01-31,0.04814796343975245
2013-02-28,0.04706710943827555
2013-03-31,0.038786082092499945
2013-04-30,0.045386035762106196
2013-05-31,0.047889581459916494
2013-06-30,0.03851299054380064
2013-07-31,359.75019542988525
2013-08-31,0.04146488003878374
2013-09-30,0.04153016886379082
2013-10-31,0.14913925333192396
2013-11-30,0.34497780993989086
2013-12-31,0.24311755265130697
2014-01-31,0.03638368558854133
2014-02-28,0.08803493047470544
2014-03-31,0.026435093857551953
2014-04-30,68.59039534395107
2014-05-31,0.02567074640660759
2014-06-30,0.025114157522783506
2014-07-31,0.19272599817385347
2014-08-31,0.017785193700863167
2014-09-30,0.05109551262582693
2014-10-31,0.03985472577897389
2014-11-30,0.0420161292986876
2014-12-31,68.66785614864176
2015-01-31,0.12371923209929525
2015-02-28,92.94305998886122
2015-03-31,6.292079691889391
2015-04-30,0.034308520493788006
2015-05-31,0.0393100173949061
2015-06-30,67.83882847728621
2015-07-31,0.03774954445125949
2015-08-31,0.09582069996138766
2015-09-30,0.062139931436554274
2015-10-31,0.049277236032685114
2015-11-30,0.06262546276362586
2015-12-31,67.65361444583422
2016-01-31,0.04811051813538034
2016-02-29,69.42125545586389
2016-03-31,0.056722226560168267
2016-04-30,0.05613837737310276
2016-05-31,0.04560077537784998
2016-06-30,0.08162555577550161
2016-07-31,0.044703455780872606
2016-08-31,0.04224088240469638
2016-09-30,0.0535917917534945
2016-10-31,0.04551648883486079
2016-11-30,0.11849910269596911
2016-12-31,91.29496239995552
2017-01-31,0.053767635431681254
2017-02-28,0.037134950468884494
2017-03-31,0.043735463620636926
2017-04-30,0.04095941407850687
2017-05-31,0.06606657055538191
2017-06-30,0.04562383750520651
2017-07-31,0.04890833608459109
2017-08-31,0.032976374044380835
2017-09-30,0.032149583936983396
2017-10-31,0.03853295306384333
2017-11-30,0.04931253868043784
2017-12-31,0.04873864462270593
2018-01-31,0.030398439733553478
2018-02-28,0.026552330929465965
2018-03-31,0.022805449185063137
2018-04-30,0.03914095839747003
2018-05-31,0.05437770499379865
2018-06-30,0.04905114871281737
2018-07-31,0.04360278005142079
2018-08-31,0.14977121170187108
2018-09-30,0.05725689559558475
2018-10-31,0.04695954246637254
2018-11-30,0.05263772900739282
2018-12-31,0.024539421676481786
2019-01-31,0.04076751401113534
2019-02-28,0.03132257555627191
2019-03-31,0.051523781938421054
2019-04-30,0.028915823291798693
2019-05-31,0.03656237111728551
2019-06-30,0.03148164740047535
2019-07-31,0.024962611360225626
2019-08-31,0.04594156726069335
2019-09-30,0.024428096014716617
2019-10-31,0.03465622202741212
2019-11-30,0.053922892331645614
2019-12-31,0.041051471580010344
2020-01-31,0.04157266028494309
2020-02-29,0.03458923579194683
2020-03-31,0.3387838513851217
2020-04-30,0.06327095018191757
2020-05-31,0.08057041546557202
2020-06-30,0.0691274755204674
2020-07-31,0.03987923573315224
2020-08-31,0.049086165326658895
2020-09-30,0.04739133029842729
2020-10-31,0.027530342271426225
2020-11-30,0.05033247064999628
2020-12-31,0.030819065049221748
2021-01-31,0.10638675594673765
2021-02-28,0.03794735632150616
2021-03-31,0.07513603523250632
2021-04-30,0.03285822421226757
2021-05-31,0.0302662439319847
2021-06-30,0.035736978786141765
2021-07-31,0.03566105987479116
2021-08-31,0.030183381056704327
2021-09-30,0.028281417015539462
2021-10-31,0.03389948797921179
2021-11-30,0.08878172171090734
2021-12-31,0.2157595467424409
2022-01-31,0.04380706471131852
2022-02-28,0.04278905533628239
2022-03-31,0.05644553136938627
2022-04-30,0.03911661119110251
2022-05-31,0.043903382032912025
2022-06-30,0.040667113533712274
2022-07-31,0.09919413936516504
2022-08-31,0.04718594016031953
2022-09-30,0.056724676674546705
2022-10-31,0.05714419863787133
2022-11-30,0.046760815609377566
2022-12-31,0.046521122639784224
2023-01-31,0.04043121287043766
2023-02-28,0.049868453967143116
2023-03-31,0.05025351336243615
2023-04-30,0.037754948581051724
2023-05-31,0.0308172748146381
2023-06-30,0.04901012455135001
2023-07-31,0.029421652594189402
2023-08-31,0.04183611440457778
2023-09-30,0.029961693755753062
2023-10-31,0.037343079474261576
2023-11-30,0.04531736670021398
2023-12-31,0.041166100459831434
2024-01-31,0.04341925412174393
2024-02-29,0.03642788685622169
2024-03-31,0.0440859171122409
2024-04-30,0.03282577772918569
2024-05-31,0.025943042225271076
2024-06-30,0.042472155177368444
2024-07-31,0.03581613617297886
2024-08-31,0.04548858751785064
2024-09-30,0.03306631298008692
2024-10-31,0.02889378975090647
2024-11-30,0.19086920931579676
2024-12-31,0.06161874938915085
2025-01-31,0.22530670243078704
2025-02-28,0.033956748980949115
2025-03-31,0.03786345493018542
2025-04-30,0.06008184141513014
2025-05-31,0.030718598143649606
2025-06-30,0.05790340228140553
2025-07-31,0.03232239032296594
2025-08-31,0.027727667042753087
2025-09-30,0.024127086815352198
2025-10-31,0.03451706180219886
2025-11-30,0.036638891071883894
2025-12-31,0.03705408294593676
2026-01-31,0.03531485002617268
2026-02-28,0.02869182595765085
2026-03-31,0.052943557951474866
2026-04-30,0.03204701001106721
2026-05-31,0.03171487639573793
2026-06-30,0.032244612628709896
2026-07-31,0.024861624965759218
2026-08-31,0.032522540790697566
