label,n_months,cagr,ann_vol,sharpe,sharpe_ci_lo,sharpe_ci_hi,max_dd,win_rate,mean_monthly_ret,tstat,pvalue
BLEND (net) - In-Sample,139,-0.0040048990340015855,0.03937912181672038,-0.08228867628918914,-0.47960221763365973,0.3560463368732133,-0.10718194704297956,0.5035971223021583,-0.00027003798397738746,-0.2800637201475091,0.779847989946267
BLEND (net) - Out-of-Sample,77,0.0017852611174020705,0.026157325769164762,0.08114074988890803,-0.6207482813229396,0.55584768918513,-0.04522576348263552,0.5974025974025974,0.0001768687523332072,0.2055387715908978,0.837700761000772
BLEND (gross) - In-Sample,139,-0.0031040751276185663,0.039376298752354814,-0.059346834503756926,-0.45677352985756964,0.3816989264115584,-0.10281526610422753,0.5035971223021583,-0.00019473822378554095,-0.2019827757550685,0.8402276394092199
BLEND (gross) - Out-of-Sample,77,0.002837016912696111,0.026151416906004227,0.1212850412178207,-0.5776293228562225,0.5949774170536426,-0.042351829425053555,0.5974025974025974,0.00026431463977909464,0.30722883900374265,0.7595094759674547
BASELINE: Carry-only (net) - In-Sample,139,-0.0013057707389385609,0.04268686559152868,-0.009267286149255571,-0.5935153189094811,0.6718828975973661,-0.15891609797087058,0.5251798561151079,-3.296594985429233e-05,-0.031540556388473334,0.9748840199219635
BASELINE: Carry-only (net) - Out-of-Sample,77,0.00616700256020275,0.029360609204013607,0.2239971877343862,-0.4159736679643606,0.9223139939565176,-0.05567384993114122,0.5584415584415584,0.000548057824322282,0.5674104179438348,0.5721076802870881
BENCHMARK: EW basket (net) - In-Sample,139,-0.010907934370352979,0.08817516938831291,-0.08043384478617867,-0.749396279129303,0.5208642324605849,-0.2789901625107688,0.5107913669064749,-0.000591022324047881,-0.27375093162780656,0.7846853401932541
BENCHMARK: EW basket (net) - Out-of-Sample,77,-0.006487017322085786,0.07954770953308583,-0.0424630184601823,-0.8131832895174804,0.46763041753009066,-0.18588007624467962,0.4805194805194805,-0.0002814863215307203,-0.1075636676305919,0.914625273307323
