date,longs,shorts,blend_gross,blend_net,turnover,carry_only_net,bm_net
2005-02-28,"GBP,NOK,SEK","CHF,EUR,JPY",0.006587889013678622,0.006387889013678622,0.5,0.00601394629588326,0.013676994451466029
2005-03-31,"GBP,NOK,SEK","CHF,EUR,JPY",0.0016737081036724832,0.0016737081036724832,0.0,0.004559843920303907,-0.01687721111454328
2005-04-30,"CAD,GBP,SEK","CHF,EUR,JPY",-0.008098726913694032,-0.008165393580360699,0.16666666666666666,0.007408750978512811,0.0018013534708158085
2005-05-31,"CAD,GBP,NZD","CHF,EUR,JPY",0.007753720331875514,0.007687053665208847,0.16666666666666666,-0.0033592286672579907,-0.033322183296251556
2005-06-30,"CAD,GBP,NZD","CHF,EUR,SEK",0.01649404929381704,0.016427382627150374,0.16666666666666666,0.005919932271687247,-0.01669568622493932
2005-07-31,"CAD,GBP,NZD","CHF,JPY,SEK",-0.0005158781528051531,-0.0005825448194718198,0.16666666666666666,-0.0055763856174249355,-0.0026461445423939245
2005-08-31,"CAD,NOK,NZD","CHF,JPY,SEK",-0.002063209624808054,-0.002129876291474721,0.16666666666666666,0.0011535918339652153,0.020631725224772024
2005-09-30,"CAD,GBP,NOK","CHF,EUR,JPY",0.010113632873408423,0.00998029954007509,0.3333333333333333,0.009074282520130617,-0.016807641857660094
2005-10-31,"CAD,GBP,NOK","CHF,EUR,SEK",0.004162855327554693,0.004096188660888026,0.16666666666666666,0.013645005217224952,-0.006074269665843762
2005-11-30,"CAD,GBP,NZD","CHF,EUR,SEK",0.008914380914689305,0.008847714248022638,0.16666666666666666,0.007978113693678702,-0.013913079074715506
2005-12-31,"CAD,GBP,NZD","CHF,JPY,SEK",-0.008829282796310104,-0.00889594946297677,0.16666666666666666,-0.012212825372207253,-0.0003213842875121192
2006-01-31,"CAD,GBP,NZD","CHF,EUR,SEK",-0.005514370906726983,-0.005581037573393649,0.16666666666666666,-0.0015788493783112176,0.022643016959887075
2006-02-28,"CAD,GBP,NZD","CHF,JPY,SEK",0.002482678769255761,0.0024160121025890943,0.16666666666666666,-0.0014179535998324454,-0.01626012912452797
2006-03-31,"CAD,GBP,NOK","CHF,EUR,SEK",-0.005945200314416535,-0.006078533647749868,0.3333333333333333,-0.01910231428493491,-0.007891561066663541
2006-04-30,"CAD,GBP,NOK","CHF,NZD,SEK",0.002234349351774273,0.0021676826851076063,0.16666666666666666,-0.0011655831856236878,0.04898938650777651
2006-05-31,"CAD,GBP,NOK","CHF,JPY,NZD",0.0037300099865893257,0.003663343319922659,0.16666666666666666,0.0006210331945638789,0.013304351979370577
2006-06-30,"CAD,GBP,NOK","CHF,JPY,NZD",0.0029162964701347823,0.0029162964701347823,0.0,-0.006143855683246597,-0.01328214369395797
2006-07-31,"CAD,GBP,SEK","CHF,JPY,NZD",-0.0020384877384744563,-0.002105154405141123,0.16666666666666666,0.012570665317627107,0.005054492085281328
2006-08-31,"CAD,GBP,SEK","CHF,JPY,NZD",0.000535889315814584,0.000535889315814584,0.0,0.019506814831147877,0.00487341537706935
2006-09-30,"CAD,GBP,SEK","EUR,JPY,NOK",0.002351164149569135,0.0022178308162358017,0.3333333333333333,0.000571618058863718,-0.014862641211075648
2006-10-31,"EUR,GBP,SEK","JPY,NOK,NZD",0.0009674210736711365,0.0008340877403378031,0.3333333333333333,0.010538861568475725,0.013758941723200234
2006-11-30,"EUR,GBP,SEK","JPY,NOK,NZD",0.005739059519805913,0.005739059519805913,0.0,-0.004518475194344633,0.02822204856821289
2006-12-31,"CHF,GBP,SEK","CAD,JPY,NZD",-0.001661705770087458,-0.0017950391034207915,0.3333333333333333,0.014626792811342453,-0.00647949993243165
2007-01-31,"GBP,NOK,SEK","CAD,JPY,NZD",0.005259770240801084,0.005193103574134418,0.16666666666666666,0.003959507027564932,-0.01210214627347983
2007-02-28,"GBP,NOK,SEK","CAD,JPY,NZD",-0.00426626988166124,-0.00426626988166124,0.0,0.0019632771552697864,0.011341696535414824
2007-03-31,"GBP,NOK,SEK","CAD,JPY,NZD",-0.00581921524668796,-0.00581921524668796,0.0,0.006313677730478747,0.009840241165284517
2007-04-30,"GBP,NOK,NZD","CAD,CHF,JPY",0.00967874228166981,0.009545408948336477,0.3333333333333333,0.010371688297740725,0.0229568956181456
2007-05-31,"GBP,NOK,NZD","CAD,CHF,JPY",-0.003774471521524783,-0.003774471521524783,0.0,0.010019597889932032,-0.0082323953288843
2007-06-30,"AUD,GBP,NZD","CAD,CHF,JPY",0.0162458389165109,0.016179172249844234,0.16666666666666666,0.01546226933806753,0.01336446076972638
2007-07-31,"AUD,GBP,NZD","CAD,CHF,JPY",-0.006958886598776354,-0.006958886598776354,0.0,-0.009617981058300076,0.010271256878284242
2007-08-31,"AUD,GBP,NZD","CAD,CHF,JPY",-0.023621542567409483,-0.023621542567409483,0.0,-0.018016115576763195,-0.013288350682342846
2007-09-30,"GBP,NOK,NZD","CAD,JPY,SEK",0.006523175407715038,0.0063898420743817045,0.3333333333333333,0.011517897301986001,0.05355032303207157
2007-10-31,"AUD,NOK,NZD","CAD,CHF,JPY",0.005980518666775827,0.005847185333442494,0.3333333333333333,0.014843895853596821,0.018720563626524276
2007-11-30,"AUD,NOK,NZD","CHF,EUR,JPY",-0.025507440188695375,-0.02557410685536204,0.16666666666666666,-0.018343901505653765,-0.009950026790621538
2007-12-31,"AUD,NOK,NZD","CHF,JPY,SEK",0.004955526260046325,0.0048888595933796585,0.16666666666666666,-0.00410215247907854,-0.004265182205367152
2008-01-31,"AUD,NOK,NZD","EUR,JPY,SEK",-0.0027195191101141766,-0.0027861857767808433,0.16666666666666666,-0.00793803326169132,0.02077707721615179
2008-02-29,"AUD,NOK,NZD","EUR,JPY,SEK",0.003403151009415321,0.003403151009415321,0.0,-0.0054023757235039105,0.024072318441745413
2008-03-31,"AUD,CHF,NOK","CAD,EUR,SEK",0.0032149269109024324,0.003081593577569099,0.3333333333333333,-0.012360915414441877,0.012305537129100787
