date,EUR,GBP,AUD,NZD,JPY,CAD,CHF,SEK,NOK,MXN,ZAR,BRL,INR,TRY,PLN,HUF,CZK,ILS,KRW,IDR,THB,PHP,CLP,COP,RON
2000-01-31,,,,,0.009328358474513907,,,,,,,,,,,,,,,,,,,,
2000-02-29,,,,,0.00907523348619356,,,,,,,,,,,,,,,,,,,,
2000-03-31,,,,,0.009712509798874011,,,,,,,,,,,,,,,,,,,,
2000-04-30,,,,,0.009246416882950416,,,,,,,,,,,,,,,,,,,,
2000-05-31,,,,,0.009291090081935715,,,,,,,,,,,,,,,,,,,,
2000-06-30,,,,,0.009433072161577058,,,,,,,,,,,,,,,,,,,,
2000-07-31,,,,,0.009146620170603113,,,,,,,,,,,,,,,,,,,,
2000-08-31,,,,,0.009374707201327473,,,,,,,,,,,,,,,,,,,,
2000-09-30,,,,,0.009248127489140301,,,,,,,,,,,,,,,,,,,,
2000-10-31,,,,,0.00919202124813359,,,,,,,,,,,,,,,,,,,,
2000-11-30,,,,,0.009060432863230751,,,,,,,,,,,,,,,,,,,,
2000-12-31,,,,,0.00874278741049819,,,,,,,,,,,,,,,,,,,,
2001-01-31,,,,,0.008570449069116443,,,,,,,,,,,,,,,,,,,,
2001-02-28,,,,,0.008518613214067203,,,,,,,,,,,,,,,,,,,,
2001-03-31,,,,,0.007922046846282301,,,,,,,,,,,,,,,,,,,,
2001-04-30,,,,,0.008105041516138445,,,,,,,,,,,,,,,,,,,,
2001-05-31,,,,,0.008387150648703282,,,,,,,,,,,,,,,,,,,,
2001-06-30,,,,,0.008032128514056224,,,,,,,,,,,,,,,8.77963125548727e-05,,,,,
2001-07-31,,,,,0.00799935991449903,,,0.09444119005468095,0.1096659587964079,,,,,,,,,,,0.00010526315789473685,,,,,
2001-08-31,,,,,0.008421052631578947,,,0.09618436706834603,0.11326952747723891,,,,,,,,,,,0.0001128286133363421,,,,,
2001-09-30,,,,,0.00836960137180954,,,0.09350338152740725,0.11274084580578542,,,,,,,,,,,0.00010300782859497322,,,,,
2001-10-31,,,,,0.008169934538673769,,,0.09371017494515425,0.11248593491350045,,,,,,,,,,,9.546539379474941e-05,,,,,
2001-11-30,,,,,0.00810044572475171,,,0.09382007196019275,0.11209630881903633,,,,,,,,,,,9.569377990430622e-05,,,,,
2001-12-31,,,,,0.007594744542465197,,,0.09506426050488201,0.11110740250144663,,,,,,,,,,,9.564801530368245e-05,,,,,
2002-01-31,,,,,0.007414547610319906,,,0.09374531195660045,0.10966475451412674,,,,,,,,,,,9.694619486185167e-05,,,,,
2002-02-28,,,,,0.0074928813853873035,,,0.09585338246960018,0.11258092140241718,,,,,,,,,,,9.852216748768474e-05,,,,,
2002-03-31,,,,,0.00753579519967914,,,0.09648039096523175,0.1129969024820662,,,,,,,,,,,0.00010178117048346055,,,,,
2002-04-30,,,,,0.0077802848323147746,,,0.0975324270652634,0.11886366186901119,,,,,,,,,,,0.00010718113612004287,,,,,
2002-05-31,,,,,0.008060615989676272,,,0.10263199441158642,0.12487201099984924,,,,,,,,,,,0.00011497556769186548,,,,,
2002-06-30,,,,,0.008366800770471841,,,0.10924066312662976,0.13337245817324392,,,,,,,,,,,0.0001147710317915758,,,,,
2002-07-31,,,,,0.00834863925689773,,,0.10552697873148958,0.13090290617095368,,,,,,,,,,,0.00011032048099729714,,,,,
2002-08-31,,,,,0.008443806446197372,,,0.10661492311623255,0.13270519453506843,,,,,,,,,,,0.00011293054771315641,,,,,
2002-09-30,,,,,0.008208158786591254,,,0.10784694475345415,0.1351488320945481,,,,,,,,,,,0.000111185234600845,,,,,
2002-10-31,,,,,0.008166598815210141,,,0.10936372447595523,0.134548756691503,,,,,,,,,,,0.00010834236186348862,,,,,
2002-11-30,,,,,0.008165264881461874,,,0.11050090322803646,0.13656165031616257,,,,,,,,,,,0.0001113895850737956,,,,,
2002-12-31,,,,,0.00842460004810311,,,0.11505758113056372,0.14442519220862934,,,,,,,,,,,0.000111731843575419,,,,,
2003-01-31,,,,,0.008339587769656555,,,0.11654467688954855,0.14460688842942582,,,,,,,,,,,0.00011273957158962796,,,,0.00035229874933943986,
2003-02-28,,,,,0.008468117800077684,,,0.11780089036862997,0.13965700408358914,,,,,,,,,,,0.00011256824449822705,,,,,
2003-03-31,,,,,0.008473857994219866,,,0.11842308252649221,0.13752509880662178,,,,,,,,,,,0.00011234061674998596,,,,,
2003-04-30,,,,,0.008416091588692033,,,0.12156576956046812,0.14208380575428195,,,,,,,,,,,0.00011484352569623887,,,,0.00034253614902061925,
