date,longs,shorts,carry_gross,carry_net,turnover,bm_gross,bm_net
2008-10-31,"BRL,COP,RON,TRY,ZAR","CAD,CHF,CZK,JPY,THB",-0.03175873090771077,-0.03175873090771077,0.0,-0.09678815022942092,-0.09678815022942092
2008-11-30,"BRL,HUF,RON,TRY,ZAR","CAD,CHF,CZK,ILS,JPY",-0.001640446320567833,-0.001720446320567833,0.2,-0.03402146060543308,-0.03402146060543308
2008-12-31,"BRL,HUF,RON,TRY,ZAR","CAD,CHF,CZK,ILS,JPY",-0.002499140761030215,-0.002499140761030215,0.0,0.048304568542303986,0.048304568542303986
2009-01-31,"BRL,HUF,RON,TRY,ZAR","CAD,CHF,GBP,JPY,SEK",-0.02638826759711288,-0.02646826759711288,0.2,-0.05744499888525068,-0.05744499888525068
2009-02-28,"BRL,COP,RON,TRY,ZAR","CAD,CHF,GBP,ILS,JPY",0.005317772856655752,0.0052377728566557515,0.2,-0.03360846176850521,-0.03360846176850521
2009-03-31,"BRL,HUF,RON,TRY,ZAR","CAD,CHF,GBP,ILS,JPY",0.020714295807251547,0.02067429580725155,0.1,0.03856181216033591,0.03856181216033591
2009-04-30,"BRL,HUF,RON,TRY,ZAR","CAD,CHF,GBP,ILS,JPY",0.024939154995167863,0.024939154995167863,0.0,0.03767217965073766,0.03767217965073766
2009-05-31,"BRL,HUF,RON,TRY,ZAR","CAD,CHF,GBP,ILS,JPY",0.0067478789325280605,0.0067478789325280605,0.0,0.06226776032152373,0.06226776032152373
2009-06-30,"BRL,HUF,RON,TRY,ZAR","CAD,CHF,GBP,ILS,JPY",0.013569606156331912,0.013569606156331912,0.0,-0.0005101919475739791,-0.0005101919475739791
2009-07-31,"BRL,HUF,RON,TRY,ZAR","CAD,CHF,GBP,JPY,SEK",-0.0010883272073559484,-0.0011283272073559485,0.1,0.031857963734176,0.031857963734176
2009-08-31,"BRL,HUF,RON,TRY,ZAR","CAD,CHF,CLP,JPY,SEK",-0.0008477104798485483,-0.0008877104798485483,0.1,-0.003507304126896589,-0.003507304126896589
